Opponent,Match,Innings,Runs,Balls,Outs,SR,50,100,4s,6s,Dot %,Score,Next_Score,Stadium,Year,Is_Home_Match
Kolkata Knight Riders,ipl2008_01,2,1,5,1,20,0,0,0,0,80,3,44.43,M.Chinnaswamy Stadium,2008,1
Mumbai Indians,ipl2008_05,2,23,14,1,164.3,0,0,3,1,35.7,44.43,24.29,Wankhede Stadium,2008,0
Rajasthan Royals,ipl2008_12,1,13,14,1,92.9,0,0,0,1,50,24.29,31.14,M.Chinnaswamy Stadium,2008,1
Chennai Super Kings,ipl2008_15,2,12,7,1,171.4,0,0,2,0,28.6,31.14,11,M.Chinnaswamy Stadium,2008,1
Delhi Capitals,ipl2008_17,2,1,1,0,100,0,0,0,0,0,11,56.1,Arun Jaitley Stadium,2008,0
Sunrisers Hyderabad,ipl2008_21,1,38,29,1,131,0,0,1,2,17.2,56.1,48.44,M.Chinnaswamy Stadium,2008,1
Kings 11 Punjab,ipl2008_25,1,34,36,1,94.4,0,0,5,0,50,48.44,34.55,M.Chinnaswamy Stadium,2008,1
Kings 11 Punjab,ipl2008_34,1,21,22,1,95.5,0,0,4,0,63.6,34.55,7.29,Punjab Cricket Association IS Bindra Stadium,2008,0
Rajasthan Royals,ipl2008_39,2,3,7,1,42.9,0,0,0,0,57.1,7.29,17.25,Sawai Mansingh Stadium,2008,0
Chennai Super Kings,ipl2008_46,1,10,16,1,62.5,0,0,1,0,56.2,17.25,29,MA Chidambaram Stadium,2008,0
Sunrisers Hyderabad,ipl2008_51,2,9,5,1,180,0,0,2,0,40,29,0,Rajiv Gandhi International Stadium,2008,0
Mumbai Indians,ipl2008_55,1,0,1,1,0,0,0,0,0,100,0,6.75,M.Chinnaswamy Stadium,2008,1
Rajasthan Royals,ipl2009_02,1,3,8,1,37.5,0,0,0,0,62.5,6.75,21.46,"Newlands, Cape Town",2009,0
Chennai Super Kings,ipl2009_05,2,11,13,1,84.6,0,0,0,1,61.5,21.46,72.62,"St George's Park, Gqeberha",2009,0
Sunrisers Hyderabad,ipl2009_08,2,50,32,1,156.2,1,0,7,0,31.2,72.62,8.67,"Newlands, Cape Town",2009,0
Kings 11 Punjab,ipl2009_11,1,2,3,1,66.7,0,0,0,0,33.3,8.67,32.17,"Kingsmead, Durban",2009,0
Delhi Capitals,ipl2009_14,1,22,24,1,91.7,0,0,1,0,25,32.17,37.83,"St George's Park, Gqeberha",2009,0
Kolkata Knight Riders,ipl2009_19,2,19,12,1,158.3,0,0,1,1,25,37.83,29.43,"Kingsmead, Durban",2009,0
Kings 11 Punjab,ipl2009_24,1,16,14,1,114.3,0,0,2,0,28.6,29.43,22.82,"Kingsmead, Durban",2009,0
Rajasthan Royals,ipl2009_33,2,15,22,1,68.2,0,0,1,0,45.5,22.82,33.09,"SuperSport Park, Centurion",2009,0
Mumbai Indians,ipl2009_38,2,20,22,1,90.9,0,0,4,0,63.6,33.09,56.86,"St George's Park, Gqeberha",2009,0
Chennai Super Kings,ipl2009_44,2,38,35,1,108.6,0,0,4,2,54.3,56.86,44.11,"Kingsmead, Durban",2009,0
Sunrisers Hyderabad,ipl2009_56,1,19,9,0,211.1,0,0,0,2,22.2,44.11,43.12,"SuperSport Park, Centurion",2009,0
Chennai Super Kings,ipl2009_58,2,24,17,0,141.2,0,0,1,2,35.3,43.12,16.75,"The Wanderers Stadium, Johannesburg",2009,0
Sunrisers Hyderabad,ipl2009_59,2,7,8,1,87.5,0,0,1,0,50,16.75,6,"The Wanderers Stadium, Johannesburg",2009,0
Kolkata Knight Riders,ipl2010_04,1,2,5,1,40,0,0,0,0,60,6,32.33,Eden Gardens,2010,0
Kings 11 Punjab,ipl2010_07,2,16,12,0,133.3,0,0,1,1,33.3,32.33,35.17,M.Chinnaswamy Stadium,2010,1
Mumbai Indians,ipl2010_14,2,17,12,1,141.7,0,0,0,2,50,35.17,43,"Brabourne Stadium, Mumbai",2010,0
Chennai Super Kings,ipl2010_18,1,24,16,1,150,0,0,2,1,25,43,60.52,M.Chinnaswamy Stadium,2010,1
Delhi Capitals,ipl2010_20,2,38,23,0,165.2,0,0,4,1,13,60.52,53.17,M.Chinnaswamy Stadium,2010,1
Chennai Super Kings,ipl2010_28,1,34,24,1,141.7,0,0,3,1,25,53.17,64.15,MA Chidambaram Stadium,2010,0
Kings 11 Punjab,ipl2010_31,2,42,26,1,161.5,0,0,4,1,11.5,64.15,25.82,Punjab Cricket Association IS Bindra Stadium,2010,0
Delhi Capitals,ipl2010_35,2,13,11,1,118.2,0,0,1,0,9.1,25.82,86.57,Arun Jaitley Stadium,2010,0
Sunrisers Hyderabad,ipl2010_40,1,58,35,1,165.7,1,0,4,4,34.3,86.57,10.5,M.Chinnaswamy Stadium,2010,1
Sunrisers Hyderabad,ipl2010_46,2,3,4,1,75,0,0,0,0,50,10.5,26.77,"Vidarbha Cricket Association Stadium, Nagpur",2010,0
Rajasthan Royals,ipl2010_49,2,14,13,1,107.7,0,0,2,0,46.2,26.77,58.42,Sawai Mansingh Stadium,2010,0
Mumbai Indians,ipl2010_52,2,37,24,1,154.2,0,0,4,1,16.7,58.42,22.86,M.Chinnaswamy Stadium,2010,1
Mumbai Indians,ipl2010_57,2,9,7,1,128.6,0,0,1,0,42.9,22.86,39.78,"Dr DY Patil Sports Academy, Navi Mumbai",2010,0
Kochi Tuskers Kerala,ipl2011_03,2,23,18,1,127.8,0,0,4,0,44.4,39.78,20.32,"Nehru Stadium, Kochi",2011,0
Mumbai Indians,ipl2011_08,1,12,19,1,63.2,0,0,2,0,68.4,20.32,95.92,M.Chinnaswamy Stadium,2011,1
Sunrisers Hyderabad,ipl2011_11,2,71,51,1,139.2,1,0,5,3,37.3,95.92,53.5,Rajiv Gandhi International Stadium,2011,0
Chennai Super Kings,ipl2011_14,2,35,28,1,125,0,0,4,1,35.7,53.5,48.04,MA Chidambaram Stadium,2011,0
Kolkata Knight Riders,ipl2011_24,2,30,23,0,130.4,0,0,3,1,34.8,48.04,82.74,Eden Gardens,2011,0
Delhi Capitals,ipl2011_30,2,56,38,1,147.4,1,0,8,2,42.1,82.74,94.95,Arun Jaitley Stadium,2011,0
Rising Pune Supergiant,ipl2011_35,1,67,42,1,159.5,1,0,4,4,23.8,94.95,39.71,M.Chinnaswamy Stadium,2011,1
Kings 11 Punjab,ipl2011_47,1,27,31,1,87.1,0,0,4,0,54.8,39.71,38.18,M.Chinnaswamy Stadium,2011,1
Kochi Tuskers Kerala,ipl2011_50,2,27,33,0,81.8,0,0,3,0,51.5,38.18,55.47,M.Chinnaswamy Stadium,2011,1
Rajasthan Royals,ipl2011_55,2,39,34,0,114.7,0,0,3,1,29.4,55.47,27,Sawai Mansingh Stadium,2011,0
Kolkata Knight Riders,ipl2011_58,2,15,15,1,100,0,0,2,0,40,27,23,M.Chinnaswamy Stadium,2011,1
Kings 11 Punjab,ipl2011_63,2,11,11,1,100,0,0,2,0,63.6,23,46.69,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2011,0
Chennai Super Kings,ipl2011_69,2,31,29,1,106.9,0,0,5,0,44.8,46.69,96.91,M.Chinnaswamy Stadium,2011,1
Chennai Super Kings,ipl2011_71,1,70,44,0,159.1,1,0,5,3,22.7,96.91,14.67,Wankhede Stadium,2011,0
Mumbai Indians,ipl2011_73,1,8,12,1,66.7,0,0,0,0,33.3,14.67,48.94,MA Chidambaram Stadium,2011,0
Chennai Super Kings,ipl2011_74,2,35,32,1,109.4,0,0,1,1,37.5,48.94,19,MA Chidambaram Stadium,2011,0
Delhi Capitals,ipl2012_05,1,8,8,1,100,0,0,1,0,50,19,11.29,M.Chinnaswamy Stadium,2012,1
Kolkata Knight Riders,ipl2012_10,2,6,14,1,42.9,0,0,1,0,78.6,11.29,78.39,M.Chinnaswamy Stadium,2012,1
